ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,"Agilent Technologies Inc is engaged in life sciences, diagnostics and applied chemical markets. The company provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow.",http://www.agilent.com,A.png,Michael R. McMullen,New York Stock Exchange,24218068096,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research
AA,Alcoa Corporation,Alcoa,Metals & Mining,Alcoa Corp is an integrated aluminum company. The company engages in aluminum production from bauxite mining to manufactures finished aluminum goods. It serves finished aluminum goods to a wide-variety of industrial end markets.,http://www.alcoa.com,AA.png,Roy Christopher Harvey,New York Stock Exchange,5374966543,Basic Materials,Basic Materials,Aluminum,Metals & Mining
AABA,Altaba Inc.,Altaba,Asset Management,"Altaba Inc is an independent, non-diversified, closed-end management investment company. The Fund's objective is to seek to increase the price per share at which it trades relative to then-current values of its principal underlying assets, and others.",http://www.altaba.com,AABA.png,Thomas J. Mcinerney,Nasdaq Global Select,41223683414,Financial Services,Financial Services,Asset Management,
AAC,AAC Holdings Inc.,AAC,Health Care Providers,AAC Holdings Inc provides inpatient and outpatient substance abuse treatment services for individuals with drug and alcohol addiction. The company also performs drug testing and diagnostics laboratory services and provides physician services.,http://www.americanaddictioncenters.org,,Michael T. Cartwright,New York Stock Exchange,63720099,Healthcare,Healthcare,Medical Care,Health Care Providers
AADR,AdvisorShares Dorsey Wright ADR,AdvisorShares Dorsey Wright,,"The investment seeks long-term capital appreciation above international benchmarks such as the BNY Mellon Classic ADR Index, the fund's primary benchmark, and the MSCI EAFE Index, the fund's secondary benchmark.
 The fund seeks to achieve the fund's investment objective by selecting primarily a portfolio of U.S.-traded securities of non-U.S. organizations, most often American Depositary Receipts (""ADRs""). It will invest at least 80% of its total assets in ADRs and in securities that have economic characteristics similar to ADRs.",http://www.advisorshares.com,AADR.png,,NYSE Arca,103161180,,,,
AAL,American Airlines Group Inc.,American Airlines,Airlines,"American Airlines Group Inc operates over 6,000 flights per day to more than 300 destinations across the world from hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, D.C.",http://www.aa.com,AAL.png,W. Douglas Parker,Nasdaq Global Select,16940186209,Industrials,Industrials,Airlines,
AAMC,Altisource Asset Management Corp Com,Altisource Asset Management,Asset Management,Altisource Asset Management Corp is an asset management company that provides portfolio management and corporate governance services. It provides management services to its Altisource Residential Corporation and NewSource Reinsurance Company Ltd.,http://www.altisourceamc.com,,George G. Ellison,NYSE American,44907363,Financial Services,Financial Services,Asset Management,
AAME,Atlantic American Corporation,Atlantic American,Insurance - Life,Atlantic American Corp provides property and casualty insurance and a variety of life and supplemental health products. It operates its business through its subsidiaries.,http://www.atlam.com,,Hilton H. Howell,NASDAQ Global Market,56558079,Financial Services,Financial Services,Insurance - Life,
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,"Aaron's Inc is a retailer of furniture, consumer electronics, computers, appliances and household accessories. It also offers lease-purchase solutions to customers of traditional retailers and revolving credit products.",http://www.aarons.com,AAN.png,John W. Robinson,New York Stock Exchange,3677542512,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing
AAOI,Applied Optoelectronics Inc.,Applied Optoelectronics,Semiconductors,"Applied Optoelectronics Inc is a vertically integrated provider of fiber-optic networking products,for four networking end-markets: internet data center, cable television, or CATV, telecommunications, or telecom, fiber-to-the-home, or FTTH.",http://www.ao-inc.com,AAOI.png,Chih-Hsiang Thompson Lin,NASDAQ Global Market,352218215,Technology,Technology,Semiconductors,
